ann_term	generic	annotation
PF00485	0.111803398874989	Phosphoribulokinase / Uridine kinase family
PF00486	1.637959520991	Transcriptional regulatory protein, C terminal
PF00487	0.392774937971778	Fatty acid desaturase
PF00488	0	MutS domain V
PF00490	0	Delta-aminolevulinic acid dehydratase
PF00491	0.157109975188711	Arginase family
PF00496	0.6934366808727	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00497	0.783432079241596	Bacterial extracellular solute-binding proteins, family 3
PF00498	0.157109975188711	FHA domain
PF00499	0.111803398874989	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00501	2.3294686198	AMP-binding enzyme
PF00507	0.111803398874989	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00510	0	Cytochrome c oxidase subunit III
PF00512	1.3195223531666	His Kinase A (phospho-acceptor) domain
PF00521	0.223606797749979	DNA gyrase/topoisomerase IV, subunit A
PF00528	1.71806300999967	Binding-protein-dependent transport system inner membrane component
PF00529	0.963823477719095	HlyD membrane-fusion protein of T1SS
PF00532	0.812871142107337	Periplasmic binding proteins and sugar binding domain of LacI family
PF00533	0	BRCA1 C Terminus (BRCT) domain
PF00534	1.20757105302391	Glycosyl transferases group 1
PF00535	1.78916393741231	Glycosyl transferase family 2
PF00542	0.111803398874989	Ribosomal protein L7/L12 C-terminal domain
PF00543	0.157109975188711	Nitrogen regulatory protein P-II
PF00547	0.392976309396426	Urease, gamma subunit
PF00549	1.42752108765377	CoA-ligase
PF00550	4.16244511880801	Phosphopantetheine attachment site
PF00551	0.157109975188711	Formyl transferase
PF00557	0.251262634294089	Metallopeptidase family M24
PF00561	0.888659209074782	alpha/beta hydrolase fold
PF00562	0.159111456835146	RNA polymerase Rpb2, domain 6
PF00563	1.41415761927442	EAL domain
PF00565	0.828297017601228	Staphylococcal nuclease homologue
PF00570	0.111803398874989	HRDC domain
PF00571	1.73929819980592	CBS domain
PF00572	0.111803398874989	Ribosomal protein L13
PF00573	0	Ribosomal protein L4/L1 family
PF00574	0	Clp protease
PF00575	0.586774059982507	S1 RNA binding domain
PF00576	0.275589127304775	HIUase/Transthyretin family
PF00577	1.89001372977399	Outer membrane usher protein
PF00578	0.157109975188711	AhpC/TSA family
PF00579	0.157109975188711	tRNA synthetases class I (W and Y)
PF00580	0.35489345878532	UvrD/REP helicase N-terminal domain
PF00581	0.631954973560296	Rhodanese-like domain
PF00582	0.426755495763742	Universal stress protein family
PF00583	1.03085315532723	Acetyltransferase (GNAT) family
PF00584	0.111803398874989	SecE/Sec61-gamma subunits of protein translocation complex
PF00585	0.223606797749979	C-terminal regulatory domain of Threonine dehydratase
PF00586	0	AIR synthase related protein, N-terminal domain
PF00587	0.392774937971778	tRNA synthetase class II core domain (G, H, P, S and T)
PF00588	0.32583874244164	SpoU rRNA Methylase family
PF00589	3.20047464834258	Phage integrase family
PF00590	0.111803398874989	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	0.309143365209678	Glycosyl transferase family, a/b domain
PF00593	3.37317695723336	TonB dependent receptor
PF00595	0.270957047369112	PDZ domain (Also known as DHR or GLGF)
PF00596	0.863372105412877	Class II Aldolase and Adducin N-terminal domain
PF00623	0.223606797749979	RNA polymerase Rpb1, domain 2
PF00625	0.157109975188711	Guanylate kinase
PF00633	0.219320007803175	Helix-hairpin-helix motif
PF00639	0.194464535831607	PPIC-type PPIASE domain
PF00654	0.405461137690427	Voltage gated chloride channel
PF00656	0	Caspase domain
PF00662	0.902791030953244	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00664	1.94155099164677	ABC transporter transmembrane region
PF00665	7.27087783950205	Integrase core domain
PF00667	0	FAD binding domain
PF00668	2.45967477524977	Condensation domain
PF00669	0.867029703256534	Bacterial flagellin N-terminal helical region
PF00672	1.0433635967086	HAMP domain
PF00673	0	ribosomal L5P family C-terminus
PF00675	0.371236387893486	Insulinase (Peptidase family M16)
PF00676	0.466436802942521	Dehydrogenase E1 component
PF00677	0	Lumazine binding domain
PF00679	0.111803398874989	Elongation factor G C-terminus
PF00682	0.487177351846223	HMGL-like
PF00684	0	DnaJ central domain
PF00687	0.111803398874989	Ribosomal protein L1p/L10e family
PF00689	0.111803398874989	Cation transporting ATPase, C-terminus
PF00690	0.111803398874989	Cation transporter/ATPase, N-terminus
PF00691	0.689431980471027	OmpA family
PF00692	0.157109975188711	dUTPase
PF00694	0.27443843698761	Aconitase C-terminal domain
PF00696	1.09052304254844	Amino acid kinase family
PF00697	0.297404383102549	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	1.00244953154318	Acyl transferase domain
PF00699	0.392976309396426	Urease beta subunit
PF00700	0.469142767938355	Bacterial flagellin C-terminal helical region
PF00701	1.44607719036929	Dihydrodipicolinate synthetase family
PF00702	0.505507640578799	haloacid dehalogenase-like hydrolase
PF00703	0.352208223798639	Glycosyl hydrolases family 2
PF00704	0.111803398874989	Glycosyl hydrolases family 18
PF00707	0.28434913465623	Translation initiation factor IF-3, C-terminal domain
PF00708	0.332805489243922	Acylphosphatase
PF00709	0.159111456835146	Adenylosuccinate synthetase
PF00710	0.194464535831607	Asparaginase, N-terminal
PF00712	0	DNA polymerase III beta subunit, N-terminal domain
PF00717	0.793067270918761	Peptidase S24-like
PF00719	0.157109975188711	Inorganic pyrophosphatase
PF00723	0.495390141610694	Glycosyl hydrolases family 15
PF00724	0.573546594622034	NADH:flavin oxidoreductase / NADH oxidase family
PF00725	1.05774718809555	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00730	0.248730956271219	HhH-GPD superfamily base excision DNA repair protein
PF00731	0.157109975188711	AIR carboxylase
PF00732	0.191182198207345	GMC oxidoreductase
PF00733	0.111803398874989	Asparagine synthase
PF00742	0.111803398874989	Homoserine dehydrogenase
PF00743	0.111803398874989	Flavin-binding monooxygenase-like
PF00745	0	Glutamyl-tRNAGlu reductase, dimerisation domain
PF00749	0.157109975188711	tRNA synthetases class I (E and Q), catalytic domain
PF00750	0.28434913465623	tRNA synthetases class I (R)
PF00753	0.871126144420928	Metallo-beta-lactamase superfamily
PF00756	0.97881030861611	Putative esterase
PF00762	0	Ferrochelatase
PF00763	0.157109975188711	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	0.111803398874989	Arginosuccinate synthase
PF00766	0.28434913465623	Electron transfer flavoprotein FAD-binding domain
PF00768	0.389538838024033	D-alanyl-D-alanine carboxypeptidase
PF00771	0.753052858433548	FHIPEP family
PF00772	0.488960405841836	DnaB-like helicase N terminal domain
PF00773	0.111803398874989	RNB domain
PF00777	0.157109975188711	Glycosyltransferase family 29 (sialyltransferase)
PF00781	0.346547163758212	Diacylglycerol kinase catalytic domain
PF00782	0.371236387893486	Dual specificity phosphatase, catalytic domain
PF00793	0.395984592463336	DAHP synthetase I family
PF00795	0.352208223798639	Carbon-nitrogen hydrolase
PF00797	0.243588675923112	N-acetyltransferase
PF00800	0	Prephenate dehydratase
PF00805	1.84596720900152	Pentapeptide repeats (8 copies)
PF00809	0.737662232746298	Pterin binding enzyme
PF00813	0.807794308948522	FliP family
PF00814	0.111803398874989	Glycoprotease family
PF00815	0.157109975188711	Histidinol dehydrogenase
PF00816	0.832489023761601	H-NS histone family
PF00817	0.678676112606584	impB/mucB/samB family
PF00825	0	Ribonuclease P
PF00828	0	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF00829	0.111803398874989	Ribosomal prokaryotic L21 protein
PF00830	0.157109975188711	Ribosomal L28 family
PF00831	0	Ribosomal L29 protein
PF00834	0.798634118790452	Ribulose-phosphate 3 epimerase family
PF00842	0.265053135346409	Alanine racemase, C-terminal domain
PF00847	0	AP2 domain
PF00848	0.924696323740524	Ring hydroxylating alpha subunit (catalytic domain)
PF00849	0.502525268588178	RNA pseudouridylate synthase
PF00854	0.290949993528402	POT family
PF00857	0.876919233323202	Isochorismatase family
PF00860	0.834387518869721	Permease family
PF00861	0	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF00866	0.487826489178585	Ring hydroxylating beta subunit
PF00871	0.341256056653258	Acetokinase family
PF00872	0.944588182989306	Transposase, Mutator family
PF00873	0.789066906084954	AcrB/AcrD/AcrF family
PF00874	1.67332005306815	PRD domain
PF00875	0.111803398874989	DNA photolyase
PF00877	0.33729189552198	NlpC/P60 family
PF00881	0.515426577663614	Nitroreductase family
PF00883	0.265053135346409	Cytosol aminopeptidase family, catalytic domain
PF00884	1.56661167871899	Sulfatase
PF00885	0	6,7-dimethyl-8-ribityllumazine synthase
PF00886	0.191182198207345	Ribosomal protein S16
PF00889	0	Elongation factor TS
PF00890	0.80189648626462	FAD binding domain
PF00891	0.382364396414689	O-methyltransferase
PF00892	1.39341807224201	EamA-like transporter family
PF00893	1.27282950025086	Small Multidrug Resistance protein
PF00899	0.194464535831607	ThiF family
PF00902	0	Sec-independent protein translocase protein (TatC)
PF00903	0.32583874244164	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00905	0.382364396414689	Penicillin binding protein transpeptidase domain
PF00908	0.545986506997	dTDP-4-dehydrorhamnose 3,5-epimerase
PF00909	0	Ammonium Transporter Family
PF00912	0.27443843698761	Transglycosylase
PF00916	0.223606797749979	Sulfate permease family
PF00919	0.111803398874989	Uncharacterized protein family UPF0004
PF00920	0.44133715118111	Dehydratase family
PF00923	0.159111456835146	Transaldolase/Fructose-6-phosphate aldolase
PF00924	0.389741881476979	Mechanosensitive ion channel
PF00925	0	GTP cyclohydrolase II
PF00926	0.111803398874989	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00929	0.508005531715123	Exonuclease
PF00931	0	NB-ARC domain
PF00933	0.194464535831607	Glycosyl hydrolase family 3 N terminal domain
PF00936	2.71132178517874	BMC domain
PF00939	0.934483543820268	Sodium:sulfate symporter transmembrane region
PF00941	0.549884913160489	FAD binding domain in molybdopterin dehydrogenase
PF00950	1.41728703220116	ABC 3 transport family
PF00953	0.111803398874989	Glycosyl transferase family 4
PF00958	0.371236387893486	GMP synthase C terminal domain
PF00959	0.191182198207345	Phage lysozyme
PF00962	0.111803398874989	Adenosine/AMP deaminase
PF00970	0.910904405216617	Oxidoreductase FAD-binding domain
PF00975	1.05535104244266	Thioesterase domain
PF00977	0.251262634294089	Histidine biosynthesis protein
PF00982	0.111803398874989	Glycosyltransferase family 20
PF00984	0.405461137690427	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00986	0.159111456835146	DNA gyrase B subunit, carboxyl terminus
PF00988	0	Carbamoyl-phosphate synthase small chain, CPSase domain
PF00989	1.04571155594067	PAS fold
PF00990	1.16644814107734	Diguanylate cyclase, GGDEF domain
PF00994	0.223606797749979	Probable molybdopterin binding domain
PF00999	0.641275430072905	Sodium/hydrogen exchanger family
PF01000	0	RNA polymerase Rpb3/RpoA insert domain
PF01008	0.420216942163227	Initiation factor 2 subunit family
PF01011	0.191182198207345	PQQ enzyme repeat
PF01012	0.626296124403655	Electron transfer flavoprotein domain
PF01016	0.111803398874989	Ribosomal L27 protein
PF01018	0.111803398874989	GTP1/OBG
PF01019	0.309143365209678	Gamma-glutamyltranspeptidase
PF01022	0.723804120645421	Bacterial regulatory protein, arsR family
PF01024	0.443661405846818	Colicin pore forming domain
PF01025	0.243588675923112	GrpE
PF01026	0.251262634294089	TatD related DNase
PF01027	0.728706153554262	Inhibitor of apoptosis-promoting Bax1
PF01029	0	NusB family
PF01032	2.39183738493012	FecCD transport family
PF01035	0.219320007803175	6-O-methylguanine DNA methyltransferase, DNA binding domain
PF01037	0.159111456835146	Lrp/AsnC ligand binding domain
PF01039	0.111803398874989	Carboxyl transferase domain
PF01040	0.111803398874989	UbiA prenyltransferase family
PF01041	0.435744670330595	DegT/DnrJ/EryC1/StrS aminotransferase family
PF01042	0.728706153554262	Endoribonuclease L-PSP
PF01043	0.111803398874989	SecA preprotein cross-linking domain
PF01047	1.0110152811576	MarR family
PF01048	0.435744670330595	Phosphorylase superfamily
PF01050	0.537222109501004	Mannose-6-phosphate isomerase
PF01051	1.29653872222462	Initiator Replication protein
PF01052	0.951680725102513	Type III flagellar switch regulator (C-ring) FliN C-term
PF01053	0.270957047369112	Cys/Met metabolism PLP-dependent enzyme
PF01055	0.772858413024196	Glycosyl hydrolases family 31
PF01058	0.527112987191383	NADH ubiquinone oxidoreductase, 20 Kd subunit
PF01061	0.548876873975221	ABC-2 type transporter
PF01062	0.219320007803175	Bestrophin, RFP-TM, chloride channel
PF01063	0.157109975188711	Amino-transferase class IV
PF01066	0.663229536225219	CDP-alcohol phosphatidyltransferase
PF01068	0.157109975188711	ATP dependent DNA ligase domain
PF01070	0.265053135346409	FMN-dependent dehydrogenase
PF01071	0.111803398874989	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
PF01074	0.594143357375915	Glycosyl hydrolases family 38 N-terminal domain
PF01075	0.502525268588178	Glycosyltransferase family 9 (heptosyltransferase)
PF01077	0.111803398874989	Nitrite and sulphite reductase 4Fe-4S domain
PF01078	0.28434913465623	Magnesium chelatase, subunit ChlI
PF01081	0.6607197839564	KDPG and KHG aldolase
PF01084	0.111803398874989	Ribosomal protein S18
PF01087	0.111803398874989	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01095	0.35556159892895	Pectinesterase
PF01098	0.194464535831607	Cell cycle protein
PF01103	0	Surface antigen
PF01106	0	NifU-like domain
PF01112	0.309143365209678	Asparaginase
PF01113	0	Dihydrodipicolinate reductase, N-terminus
PF01116	1.96230296116385	Fructose-bisphosphate aldolase class-II
PF01118	0.536632726866619	Semialdehyde dehydrogenase, NAD binding domain
PF01119	0.111803398874989	DNA mismatch repair protein, C-terminal domain
PF01121	0	Dephospho-CoA kinase
PF01124	0.359324260314598	MAPEG family
PF01127	0.223606797749979	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF01128	0.191182198207345	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF01131	0.599445946719114	DNA topoisomerase
PF01132	0.111803398874989	Elongation factor P (EF-P) OB domain
PF01134	0	Glucose inhibited division protein A
PF01135	0.111803398874989	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF01136	0.317226908367504	Peptidase family U32
PF01137	0	RNA 3'-terminal phosphate cyclase
PF01138	0.275589127304775	3' exoribonuclease family, domain 1
PF01139	0.955993750310592	tRNA-splicing ligase RtcB
PF01142	0	tRNA pseudouridine synthase D (TruD)
PF01144	1.55444442433766	Coenzyme A transferase
PF01145	0.688857979888232	SPFH domain / Band 7 family
PF01148	0.428236004966148	Cytidylyltransferase family
PF01149	0.270957047369112	Formamidopyrimidine-DNA glycosylase N-terminal domain
PF01155	0.157109975188711	Hydrogenase/urease nickel incorporation, metallochaperone, hypA
PF01156	0.219320007803175	Inosine-uridine preferring nucleoside hydrolase
PF01161	0.673174982424351	Phosphatidylethanolamine-binding protein
PF01163	0.157109975188711	RIO1 family
