ann_term	cv	annotation
PF00109	0.508831851645979	Beta-ketoacyl synthase, N-terminal domain
PF00111	0.212707576027511	2Fe-2S iron-sulfur cluster binding domain
PF00112	0.370417805484279	Papain family cysteine protease
PF00113	0.512291582926951	Enolase, C-terminal TIM barrel domain
PF00114	0	Pilin (bacterial filament)
PF00115	1.50909934049114	Cytochrome C and Quinol oxidase polypeptide I
PF00116	1.35783513531192	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	0.188027270424706	Glutamine amidotransferase class-I
PF00118	0.279581421975205	TCP-1/cpn60 chaperonin family
PF00119	1.47010973791395	ATP synthase A chain
PF00120	0.238672582683974	Glutamine synthetase, catalytic domain
PF00121	0.50579799479262	Triosephosphate isomerase
PF00122	0.182424875306064	E1-E2 ATPase
PF00124	2.19997011731403	Photosynthetic reaction centre protein
PF00125	0.313842245513387	Core histone H2A/H2B/H3/H4
PF00126	5.86092179718075	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	0.403953049298722	Copper binding proteins, plastocyanin/azurin family
PF00128	0.19813993401029	Alpha amylase, catalytic domain
PF00130	0.286091097066709	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00132	0.222268752081154	Bacterial transferase hexapeptide (six repeats)
PF00133	0.279221702945759	tRNA synthetases class I (I, L, M and V)
PF00134	0.208815799234496	Cyclin, N-terminal domain
PF00135	1.61825312541637	Carboxylesterase family
PF00136	0.315826666538884	DNA polymerase family B
PF00137	0.58973327800822	ATP synthase subunit C
PF00139	0.411855732382775	Legume lectin domain
PF00140	1.706180299071	Sigma-70 factor, region 1.2
PF00141	0.239249690506039	Peroxidase
PF00144	1.17323958212933	Beta-lactamase
PF00145	0.273563944673797	C-5 cytosine-specific DNA methylase
PF00146	1.53478398880125	NADH dehydrogenase
PF00149	0.113002209817839	Calcineurin-like phosphoesterase
PF00150	0.289071475736713	Cellulase (glycosyl hydrolase family 5)
PF00152	0.227905214497017	tRNA synthetases class II (D, K and N)
PF00153	0.136524878042897	Mitochondrial carrier protein
PF00154	0.260314732943725	recA bacterial DNA recombination protein
PF00155	0.194236009854287	Aminotransferase class I and II
PF00156	0.183619483917635	Phosphoribosyl transferase domain
PF00158	7.34846922834953	Sigma-54 interaction domain
PF00160	0.417584826874749	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161	1.85747509493503	Ribosome inactivating protein
PF00162	0.749970631424365	Phosphoglycerate kinase
PF00163	0.724694131965797	Ribosomal protein S4/S9 N-terminal domain
PF00164	1.92978666813688	Ribosomal protein S12/S23
PF00166	0.314992558154435	Chaperonin 10 Kd subunit
PF00168	0.141463804403986	C2 domain
PF00169	0.175437458619282	PH domain
PF00170	0.261702314107089	bZIP transcription factor
PF00171	0.25382311850713	Aldehyde dehydrogenase family
PF00173	0.211483079754677	Cytochrome b5-like Heme/Steroid binding domain
PF00174	0.33384174099966	Oxidoreductase molybdopterin binding domain
PF00175	0.196304913903989	Oxidoreductase NAD-binding domain
PF00176	0.135364524247371	SNF2 family N-terminal domain
PF00177	1.8359451384869	Ribosomal protein S7p/S5e
PF00179	0.186003448572607	Ubiquitin-conjugating enzyme
PF00180	0.327838892785224	Isocitrate/isopropylmalate dehydrogenase
PF00181	1.22336850768544	Ribosomal Proteins L2, RNA binding domain
PF00182	0.430971527633759	Chitinase class I
PF00183	1.00963322032701	Hsp90 protein
PF00185	0.332011357061471	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	0.442296321849215	Dihydrofolate reductase
PF00187	0.815415540548031	Chitin recognition protein
PF00188	0.431440991304981	Cysteine-rich secretory protein family
PF00189	1.01536544215966	Ribosomal protein S3, C-terminal domain
PF00190	0.33541547180363	Cupin
PF00191	0.299432716648562	Annexin
PF00194	0.39332066276381	Eukaryotic-type carbonic anhydrase
PF00195	0.59709220654792	Chalcone and stilbene synthases, N-terminal domain
PF00196	7.34846922834953	Bacterial regulatory proteins, luxR family
PF00197	0.991131133125524	Trypsin and protease inhibitor
PF00198	0.255751556117079	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	0.314170065710722	Catalase
PF00201	0.397618174925462	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202	0.201805084292516	Aminotransferase class-III
PF00203	0.473824233011388	Ribosomal protein S19
PF00204	0.354525990014956	DNA gyrase B
PF00205	0.30100408920542	Thiamine pyrophosphate enzyme, central domain
PF00206	0.359172513556706	Lyase
PF00207	0	Alpha-2-macroglobulin family
PF00208	0.238316304807635	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209	0	Sodium:neurotransmitter symporter family
PF00210	0.459264747258177	Ferritin-like domain
PF00211	7.34846922834953	Adenylate and Guanylate cyclase catalytic domain
PF00213	0.358528393245848	ATP synthase delta (OSCP) subunit
PF00215	0.560772154092044	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216	4.16182108180795	Bacterial DNA-binding protein
PF00217	0	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	0.581847425628598	Indole-3-glycerol phosphate synthase
PF00221	0.468663647052223	Aromatic amino acid lyase
PF00223	2.67212945026974	Photosystem I psaA/psaB protein
PF00224	0.279195714949789	Pyruvate kinase, barrel domain
PF00225	0.203094287185295	Kinesin motor domain
PF00226	0.110102416280871	DnaJ domain
PF00227	0.176009237058433	Proteasome subunit
PF00228	1.79326570446001	Bowman-Birk serine protease inhibitor family
PF00230	0.263192594580828	Major intrinsic protein
PF00231	0.277868826797214	ATP synthase
PF00232	0.316983720954317	Glycosyl hydrolase family 1
PF00234	0.414251435045057	Protease inhibitor/seed storage/LTP family
PF00235	0.296879375695788	Profilin
PF00237	0.420696246754154	Ribosomal protein L22p/L17e
PF00238	0.462326029391118	Ribosomal protein L14p/L23e
PF00239	5.43573084426747	Resolvase, N terminal domain
PF00240	0.316544927431022	Ubiquitin family
PF00241	0.302198544098482	Cofilin/tropomyosin-type actin-binding protein
PF00244	0.359226881518772	14-3-3 protein
PF00245	7.34846922834953	Alkaline phosphatase
PF00246	0.176198288968674	Zinc carboxypeptidase
PF00248	0.39487838771396	Aldo/keto reductase family
PF00249	0.218418043169817	Myb-like DNA-binding domain
PF00251	0.309753874249391	Glycosyl hydrolases family 32 N-terminal domain
PF00252	0.447927571149845	Ribosomal protein L16p/L10e
PF00253	0.589098456874681	Ribosomal protein S14p/S29e
PF00254	0.18603786793792	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	0.255618121025659	Glutathione peroxidase
PF00257	0.651478944988509	Dehydrin
PF00258	0.196211892273497	Flavodoxin
PF00261	0	Tropomyosin
PF00262	0.301717670109737	Calreticulin family
PF00263	7.34846922834953	Bacterial type II and III secretion system protein
PF00264	0.786299347370529	Common central domain of tyrosinase
PF00265	0.464703257120672	Thymidine kinase
PF00266	0.22697908121152	Aminotransferase class-V
PF00267	7.34846922834953	Gram-negative porin
PF00268	0.338890504876188	Ribonucleotide reductase, small chain
PF00270	0.0847643286011604	DEAD/DEAH box helicase
PF00271	0.0780613903984009	Helicase conserved C-terminal domain
PF00274	0.304569170997316	Fructose-bisphosphate aldolase class-I
PF00275	0.612616634252516	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276	0.429386012485527	Ribosomal protein L23
PF00278	0.560150885762162	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00280	0.924900404375376	Potato inhibitor I family
PF00281	0.313428412320004	Ribosomal protein L5
PF00282	0.321459329200128	Pyridoxal-dependent decarboxylase conserved domain
PF00283	2.21073910168935	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00284	2.28992872921968	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF00285	0.350065980219843	Citrate synthase, C-terminal domain
PF00288	0.131538635221004	GHMP kinases N terminal domain
PF00289	0.184288535050185	Biotin carboxylase, N-terminal domain
PF00290	0.631444487690228	Tryptophan synthase alpha chain
PF00291	0.20211569720062	Pyridoxal-phosphate dependent enzyme
PF00293	0.190836094841462	NUDIX domain
PF00294	0.167597419660591	pfkB family carbohydrate kinase
PF00295	0.22692501591393	Glycosyl hydrolases family 28
PF00296	7.34846922834953	Luciferase-like monooxygenase
PF00297	0.334021328561342	Ribosomal protein L3
PF00298	0.360786977589627	Ribosomal protein L11, RNA binding domain
PF00300	0.203373609903357	Histidine phosphatase superfamily (branch 1)
PF00301	0.371742368622829	Rubredoxin
PF00303	0.531579392888208	Thymidylate synthase
PF00304	0.739598864891737	Gamma-thionin family
PF00305	0.533973632618628	Lipoxygenase
PF00306	2.03818736700791	ATP synthase alpha/beta chain, C terminal domain
PF00307	0.179745701596621	Calponin homology (CH) domain
PF00308	7.34846922834953	Bacterial dnaA  protein
PF00310	0.348817963336933	Glutamine amidotransferases class-II
PF00311	0.258813439415877	Phosphoenolpyruvate carboxylase
PF00312	0.306894146117299	Ribosomal protein S15
PF00313	0.65689273067048	'Cold-shock' DNA-binding domain
PF00314	0.293889325252183	Thaumatin family
PF00316	0.247034295991926	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	0.478703609402681	Ribonucleotide reductase, all-alpha domain
PF00318	0.472091250155047	Ribosomal protein S2
PF00319	0.359331715117541	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320	0.226427732989572	GATA zinc finger
PF00321	2.99096414821625	Plant thionin
PF00324	0.582598150902292	Amino acid permease
PF00326	0.376287293924031	Prolyl oligopeptidase family
PF00327	0.224752589703237	Ribosomal protein L30p/L7e
PF00328	0.279417846508066	Histidine phosphatase superfamily (branch 2)
PF00329	2.18310259012624	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	0.477119259155175	Aconitase family (aconitate hydratase)
PF00331	0.438408259611954	Glycosyl hydrolase family 10
PF00332	0.14580421897036	Glycosyl hydrolases family 17
PF00333	0.296225858504469	Ribosomal protein S5, N-terminal domain
PF00334	0.331831325076291	Nucleoside diphosphate kinase
PF00335	0.215202644936465	Tetraspanin family
PF00337	0.293186205801837	Galactoside-binding lectin
PF00338	0.472380237456679	Ribosomal protein S10p/S20e
PF00342	0.397653494749879	Phosphoglucose isomerase
PF00343	0.412835349907277	Carbohydrate phosphorylase
PF00344	0.261114696031464	SecY translocase
PF00345	0	Pili and flagellar-assembly chaperone, PapD N-terminal domain
PF00346	1.59456540073501	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	0.21445411172961	Ribosomal protein L6
PF00348	0.320943739079176	Polyprenyl synthetase
PF00349	0.287568932276638	Hexokinase
PF00350	0.269049023413096	Dynamin family
PF00352	0.487746717212711	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00353	6.03274085836205	RTX calcium-binding nonapeptide repeat (4 copies)
PF00355	0.228292673398862	Rieske [2Fe-2S] domain
PF00356	0	Bacterial regulatory proteins, lacI family
PF00359	7.34846922834953	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00360	0.245932035571788	Phytochrome region
PF00361	1.93414028040444	Proton-conducting membrane transporter
PF00364	0.139057028540266	Biotin-requiring enzyme
PF00365	0.217645588282245	Phosphofructokinase
PF00366	0.251193140124808	Ribosomal protein S17
PF00367	7.34846922834953	phosphotransferase system, EIIB
PF00368	0.577878707133749	Hydroxymethylglutaryl-coenzyme A reductase
PF00370	0.250477156261662	FGGY family of carbohydrate kinases, N-terminal domain
PF00373	0.386302359903976	FERM central domain
PF00375	7.34846922834953	Sodium:dicarboxylate symporter family
PF00378	0.269555669659227	Enoyl-CoA hydratase/isomerase
PF00380	0.20071926111252	Ribosomal protein S9/S16
PF00382	0.28004138703006	Transcription factor TFIIB repeat
PF00383	0.306361711136855	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	0.369206425233855	Molybdopterin oxidoreductase
PF00385	0.300439929009771	Chromo (CHRromatin Organisation MOdifier) domain
PF00387	0.329233674879008	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	0.314959858807126	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	0.261775424570786	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	0.265286396022209	Malic enzyme, N-terminal domain
PF00391	0.385102618559911	PEP-utilising enzyme, mobile domain
PF00392	7.34846922834953	Bacterial regulatory proteins, gntR family
PF00393	0.446913632362931	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	0.264538418622901	Multicopper oxidase
PF00395	1.28972232001911	S-layer homology domain
PF00396	0.247041662563547	Granulin
PF00397	0.171815961147129	WW domain
PF00398	0.243844749413041	Ribosomal RNA adenine dimethylase
PF00400	0.136186185143494	WD domain, G-beta repeat
PF00401	2.96207264145949	ATP synthase, Delta/Epsilon chain, long alpha-helix domain
PF00403	0.190418632679065	Heavy-metal-associated domain
PF00405	1.79258268569425	Transferrin
PF00406	0.170007709084309	Adenylate kinase
PF00407	0.630528458719008	Pathogenesis-related protein Bet v 1 family
PF00408	0.225407045347962	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410	0.584093148003689	Ribosomal protein S8
PF00411	0.572577434890256	Ribosomal protein S11
PF00412	0.232757031987382	LIM domain
PF00413	0.618303807534447	Matrixin
PF00415	0.135061065730439	Regulator of chromosome condensation (RCC1) repeat
PF00416	0.248601188299552	Ribosomal protein S13/S18
PF00419	0	Fimbrial protein
PF00420	1.30490439606224	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00421	2.32738603068959	Photosystem II protein
PF00425	0.32414498635512	chorismate binding enzyme
PF00428	0.307628158578628	60s Acidic ribosomal protein
PF00430	1.73297462214221	ATP synthase B/B' CF(0)
PF00431	2.79487401410457	CUB domain
PF00432	0.209581562992199	Prenyltransferase and squalene oxidase repeat
PF00433	0.21458810369003	Protein kinase C terminal domain
PF00436	0.275314606938368	Single-strand binding protein family
PF00437	6.03274085836205	Type II/IV secretion system protein
PF00438	0.376228559951484	S-adenosylmethionine synthetase, N-terminal domain
PF00439	0.164362052379762	Bromodomain
PF00440	5.77649760047573	Bacterial regulatory proteins, tetR family
PF00441	0.246848801275355	Acyl-CoA dehydrogenase, C-terminal domain
PF00443	0.243768523838818	Ubiquitin carboxyl-terminal hydrolase
PF00444	0.606007585092325	Ribosomal protein L36
PF00445	0.602327014595778	Ribonuclease T2 family
PF00447	0.250996387751121	HSF-type DNA-binding
PF00448	0.366363373980189	SRP54-type protein, GTPase domain
PF00449	0.232867667772714	Urease alpha-subunit, N-terminal domain
PF00450	0.358073742668547	Serine carboxypeptidase
PF00453	0.567044524354651	Ribosomal protein L20
PF00454	0.163460206662466	Phosphatidylinositol 3- and 4-kinase
PF00455	0	DeoR C terminal sensor domain
PF00456	0.654589363568254	Transketolase, thiamine diphosphate binding domain
PF00458	0.780326363134119	WHEP-TRS domain
PF00459	0.167103576367672	Inositol monophosphatase family
PF00460	5.77649760047573	Flagella basal body rod protein
PF00462	0.204958808337614	Glutaredoxin
PF00463	0.422849382523119	Isocitrate lyase family
PF00464	0.274823984634638	Serine hydroxymethyltransferase
PF00465	7.34846922834953	Iron-containing alcohol dehydrogenase
PF00466	0.262449346696493	Ribosomal protein L10
PF00467	0.225200801167844	KOW motif
PF00468	0.414285795826905	Ribosomal protein L34
PF00471	0.644947500661569	Ribosomal protein L33
PF00472	0.295460802946732	RF-1 domain
PF00474	0.267787299510658	Sodium:solute symporter family
PF00475	0.41392771966172	Imidazoleglycerol-phosphate dehydratase
PF00476	0.367616416575737	DNA polymerase family A
PF00477	0.469108980239111	Small hydrophilic plant seed protein
PF00478	0.574400766243786	IMP dehydrogenase / GMP reductase domain
PF00479	0.288666311705208	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00480	0	ROK family
PF00481	0.167945239269987	Protein phosphatase 2C
PF00482	7.34846922834953	Type II secretion system (T2SS), protein F
PF00483	0.147877242706068	Nucleotidyl transferase
PF00484	0.365292368423578	Carbonic anhydrase
PF00485	0.13128688305295	Phosphoribulokinase / Uridine kinase family
PF00486	5.77649760047573	Transcriptional regulatory protein, C terminal
PF00487	0.579212357414394	Fatty acid desaturase
PF00488	0.103275529640909	MutS domain V
PF00490	0.568848035172472	Delta-aminolevulinic acid dehydratase
PF00491	0.440219079425089	Arginase family
PF00493	0.33574690317873	MCM P-loop domain
PF00494	0.241074876552458	Squalene/phytoene synthase
PF00496	7.34846922834953	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00497	0.485230727297601	Bacterial extracellular solute-binding proteins, family 3
PF00498	0.12315675014714	FHA domain
PF00499	1.05027229099559	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00500	7.34846922834953	L1 (late) protein
PF00501	0.18011160133508	AMP-binding enzyme
PF00503	0.317409259247812	G-protein alpha subunit
PF00504	0.240125753217956	Chlorophyll A-B binding protein
PF00505	0.195126119081679	HMG (high mobility group) box
PF00507	1.16353803320604	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00510	1.60059535937229	Cytochrome c oxidase subunit III
PF00512	0.200918125095557	His Kinase A (phospho-acceptor) domain
PF00514	0.286956650091249	Armadillo/beta-catenin-like repeat
PF00515	0.148137285986645	Tetratricopeptide repeat
PF00519	7.34846922834953	Papillomavirus helicase
PF00520	0.296632175758285	Ion transport protein
PF00521	0.483451922917733	DNA gyrase/topoisomerase IV, subunit A
PF00524	5.14689868151063	E1 Protein, N terminal domain
PF00528	5.77649760047573	Binding-protein-dependent transport system inner membrane component
PF00529	7.34846922834953	HlyD membrane-fusion protein of T1SS
PF00531	7.34846922834953	Death domain
PF00532	0	Periplasmic binding proteins and sugar binding domain of LacI family
PF00533	0.240126475539705	BRCA1 C Terminus (BRCT) domain
PF00534	0.119468806242721	Glycosyl transferases group 1
PF00535	0.377526088972167	Glycosyl transferase family 2
PF00536	0.225416642165187	SAM domain (Sterile alpha motif)
PF00537	2.72597567784939	Scorpion toxin-like domain
PF00538	0.228416759983765	linker histone H1 and H5 family
PF00542	0.255801728881591	Ribosomal protein L7/L12 C-terminal domain
PF00543	0.356341932338682	Nitrogen regulatory protein P-II
PF00544	0.317011709432412	Pectate lyase
PF00547	0.336463292455227	Urease, gamma subunit
PF00549	0.261133145523029	CoA-ligase
PF00550	0.210903286370095	Phosphopantetheine attachment site
PF00551	0.375139735512925	Formyl transferase
PF00553	7.34846922834953	Cellulose binding domain
PF00557	0.144019345197887	Metallopeptidase family M24
PF00560	0.46463825728236	Leucine Rich Repeat
PF00561	0.258237784369773	alpha/beta hydrolase fold
PF00562	0.868285626345745	RNA polymerase Rpb2, domain 6
PF00563	6.5675014633952	EAL domain
PF00564	0.198070244401765	PB1 domain
PF00565	0.372944931510794	Staphylococcal nuclease homologue
PF00566	0.233318678153061	Rab-GTPase-TBC domain
PF00567	0.500981598219114	Tudor domain
PF00569	0.192660035462189	Zinc finger, ZZ type
PF00570	0.190853284357263	HRDC domain
PF00571	0.21658725221626	CBS domain
PF00572	0.210699100263258	Ribosomal protein L13
PF00573	0.275066186958451	Ribosomal protein L4/L1 family
PF00574	0.548277551947885	Clp protease
PF00575	0.163767740054722	S1 RNA binding domain
PF00576	0.244813004812233	HIUase/Transthyretin family
PF00577	7.34846922834953	Outer membrane usher protein
PF00578	0.306507381181192	AhpC/TSA family
PF00579	0.280327998376416	tRNA synthetases class I (W and Y)
PF00580	0.632158582708088	UvrD/REP helicase N-terminal domain
PF00581	0.160702092359721	Rhodanese-like domain
PF00582	0.183461862664596	Universal stress protein family
PF00583	0.129428342562817	Acetyltransferase (GNAT) family
PF00584	0.376412434378458	SecE/Sec61-gamma subunits of protein translocation complex
PF00585	0.544259486185645	C-terminal regulatory domain of Threonine dehydratase
PF00586	1.18183467464412	AIR synthase related protein, N-terminal domain
PF00587	0.258741267809302	tRNA synthetase class II core domain (G, H, P, S and T)
PF00588	0.122929929907033	SpoU rRNA Methylase family
PF00589	7.34846922834953	Phage integrase family
PF00590	0.224478969469948	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	0.631978026845154	Glycosyl transferase family, a/b domain
PF00593	5.31129980893353	TonB dependent receptor
PF00595	1.6870370096186	PDZ domain
PF00596	0.438404243449277	Class II Aldolase and Adducin N-terminal domain
PF00598	7.34846922834953	Influenza Matrix protein (M1)
PF00609	0.266114348804491	Diacylglycerol kinase accessory domain
PF00610	0.362736141869414	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
PF00612	0.200351294317443	IQ calmodulin-binding motif
PF00613	0.257344934075531	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
PF00614	0.275543776800725	Phospholipase D Active site motif
PF00615	0.508048430316608	Regulator of G protein signaling domain
PF00619	7.34846922834953	Caspase recruitment domain
PF00620	0.193774119355707	RhoGAP domain
PF00622	0.249163037776621	SPRY domain
PF00623	1.14742553232812	RNA polymerase Rpb1, domain 2
PF00625	0.373646410131517	Guanylate kinase
PF00626	0.274357293673596	Gelsolin repeat
PF00627	0.150039587148259	UBA/TS-N domain
PF00628	0.119670959904554	PHD-finger
PF00630	0.267310604846087	Filamin/ABP280 repeat
PF00631	0.365725654677893	GGL domain
PF00632	0.390074310076118	HECT-domain (ubiquitin-transferase)
PF00633	0.511594110306374	Helix-hairpin-helix motif
PF00634	0.611172995585772	BRCA2 repeat
PF00635	0.301341919717388	MSP (Major sperm protein) domain
PF00636	0.261419363190441	Ribonuclease III domain
PF00637	0.278415829417966	Region in Clathrin and VPS
PF00638	0.254291468483306	RanBP1 domain
PF00639	0.520575909561039	PPIC-type PPIASE domain
PF00641	0.219631867297919	Zn-finger in Ran binding protein and others
PF00642	0.131495796040956	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF00643	0.226970523079469	B-box zinc finger
PF00644	0.376214387869712	Poly(ADP-ribose) polymerase catalytic domain
PF00645	0.414889093500492	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF00646	0.509343475333486	F-box domain
PF00647	0.547508995459575	Elongation factor 1 gamma, conserved domain
PF00648	2.19607764322254	Calpain family cysteine protease
PF00650	0.180811545226683	CRAL/TRIO domain
PF00651	0.472311624040132	BTB/POZ domain
PF00652	3.06942725077477	Ricin-type beta-trefoil lectin domain
PF00654	0.239208571963307	Voltage gated chloride channel
PF00656	0.311872036025921	Caspase domain
PF00657	0.164284936989482	GDSL-like Lipase/Acylhydrolase
PF00658	0.400990508899295	Poly-adenylate binding protein, unique domain
PF00662	1.6181750727402	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00664	0.215605591874894	ABC transporter transmembrane region
PF00665	1.6429486206742	Integrase core domain
PF00667	0.275288148372458	FAD binding domain
PF00668	7.34846922834953	Condensation domain
PF00669	7.34846922834953	Bacterial flagellin N-terminal helical region
PF00670	0.682883220741102	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF00672	6.22229709448813	HAMP domain
PF00673	0.329055200532082	ribosomal L5P family C-terminus
PF00675	0.177156763613635	Insulinase (Peptidase family M16)
PF00676	0.488173337603735	Dehydrogenase E1 component
PF00677	0.515464821206189	Lumazine binding domain
PF00679	0.143661737865766	Elongation factor G C-terminus
PF00680	7.34846922834953	Viral RNA-dependent RNA polymerase
PF00682	0.454616241679151	HMGL-like
PF00684	0.2160312754981	DnaJ central domain
PF00685	0.580114907496855	Sulfotransferase domain
PF00686	0.183051560987719	Starch binding domain
PF00687	0.32503022138982	Ribosomal protein L1p/L10e family
PF00689	0.363806950914318	Cation transporting ATPase, C-terminus
PF00690	0.238832485832641	Cation transporter/ATPase, N-terminus
PF00691	5.14689868151063	OmpA family
PF00692	0.660007656332641	dUTPase
PF00694	0.323490006443738	Aconitase C-terminal domain
PF00696	0.214656777984401	Amino acid kinase family
PF00697	0.589543236518247	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	0.133608531424537	Acyl transferase domain
PF00699	0.262445329583912	Urease beta subunit
PF00700	0	Bacterial flagellin C-terminal helical region
PF00701	0.410961654835879	Dihydrodipicolinate synthetase family
PF00702	0.190961884243835	haloacid dehalogenase-like hydrolase
PF00703	0.381513513059368	Glycosyl hydrolases family 2
PF00704	0.435355096671055	Glycosyl hydrolases family 18
PF00705	0.536824994124267	Proliferating cell nuclear antigen, N-terminal domain
PF00707	0.434844749702979	Translation initiation factor IF-3, C-terminal domain
PF00708	0.367330843569687	Acylphosphatase
